"logFC"	"logCPM"	"PValue"	"FDR"
"EPlSTUG00000000569"	0.38439538740783	-0.0382096876192563	0.310182656317491	0.710637043045614
"EPlSTUG00000000573"	-0.341814907549881	-1.37457706791615	0.597879668700122	0.903408238364416
"EPlSTUG00000000593"	-0.203797639639333	-1.53024689984212	0.787715109124477	0.96939742455153
"EPlSTUG00000000620"	-0.4331452465217	-0.934285812576519	0.486218889746586	0.843976724270669
"EPlSTUG00000000662"	1.19119488954224	-0.441740638342952	0.0363126977381478	0.243018639497713
"EPlSTUG00000000734"	0.178748629173779	-1.38574521626896	0.878434762196376	0.992809920766376
"EPlSTUG00000000741"	0.0572799955217635	-0.98836321747209	0.963525770893774	1
"EPlSTUG00000000763"	0.379221992160369	-0.969454121213904	0.437562050721558	0.813870438336667
"EPlSTUG00000000783"	1.19119502769607	-0.441740638342952	0.036308933442469	0.243018639497713
"EPlSTUG00000000808"	-0.502423915477465	-0.762012759621653	0.305438807206382	0.705984656807829
"EPlSTUG00000000824"	0.36926206950235	-0.66840628031498	0.375013623962905	0.766941139812095
"EPlSTUG00000000839"	-0.185928982826262	0.648896856661463	0.564416342366255	0.885870707341109
"EPlSTUG00000000853"	0.44029087080896	-1.33577798491499	0.548752752400174	0.878208274831881
"EPlSTUG00000000869"	-0.362707123744115	0.310313353592472	0.276781123372321	0.67872550777331
"EPlSTUG00000000874"	0.653562181007781	-1.37475290556836	0.306293417250533	0.707142444149824
"EPlSTUG00000000883"	0.451065230923039	-0.423879204693037	0.250487774502984	0.649511496867348
"EPlSTUG00000000897"	1.41296262025068	-0.746580472241419	0.0812165403622956	0.377947911812008
"EPlSTUG00000000898"	0.265640186107811	2.7210700066939	0.330919963939632	0.727931919262846
"EPlSTUG00000000936"	0.461824114335799	-0.980498014902867	0.462667845618905	0.831031224672445
"EPlSTUG00000000956"	0.203630479223188	0.878119326928989	0.512466166712646	0.858060439238649
"EPlSTUG00000000982"	0.159749806783237	-1.59910618791885	0.896626784921307	0.994708486818269
"EPlSTUG00000001005"	0.454175538644383	-1.65277461020338	0.618300448263708	0.911458132709609
"EPlSTUG00000001019"	0.30446041331124	-0.964657517629124	0.527032331658329	0.86607818184392
"EPlSTUG00000001055"	0.751862028746211	-0.946796336995261	0.139156755375057	0.500437665148701
"EPlSTUG00000001088"	-0.280352439922509	0.883472918253395	0.401737851862194	0.788697910355211
"EPlSTUG00000001109"	0.501794170928888	-1.6037617191935	0.442112010107867	0.816143633543885
"EPlSTUG00000001112"	0.212329687364165	-1.5720132071198	0.890421124265137	0.993534114222711
"EPlSTUG00000001123"	-0.379111709010862	0.44104468909246	0.254795616639746	0.655529315913884
"EPlSTUG00000001127"	0.311883183563944	0.345922155421225	0.29550907220335	0.697263286981017
"EPlSTUG00000001153"	-0.0800654197684739	-1.56524992840762	0.901920930533732	0.995432930676183
"EPlSTUG00000001213"	0.152313997493429	0.911744672197513	0.829806282405125	0.981457600649989
"EPlSTUG00000001217"	0.668215215179166	-1.21369486396868	0.381244211394263	0.772331781833344
"EPlSTUG00000001246"	-0.0479194555628396	-0.843336929341248	0.999999999999999	1
"EPlSTUG00000001262"	0.243983572871677	1.61942791539931	0.66571144049543	0.931009030412038
"EPlSTUG00000001292"	0.676056875684935	-1.656003625472	0.403832619250579	0.789818984271695
"EPlSTUG00000001324"	0.247983255419293	-1.45574124378115	0.743441588362105	0.957043181532245
"EPlSTUG00000001349"	0.116582543174608	-0.401369205165872	0.821786010751176	0.979507112550591
"EPlSTUG00000001374"	0.720749451919325	-1.03272144650987	0.326284471322272	0.72405712628803
"EPlSTUG00000001390"	0.495677085257854	-1.42401058520702	0.501709824823998	0.852850273518625
"EPlSTUG00000001408"	0.88692434333889	-0.866858496072226	0.157809666593867	0.531571568198238
"EPlSTUG00000001425"	0.277273101755468	-1.69641183877321	0.712822591304824	0.94711110738133
"EPlSTUG00000001430"	0.453783081687466	-1.25997758300742	0.421269032771171	0.801831814144376
"EPlSTUG00000001478"	-0.0276235951453602	3.23184859300915	0.926033136787402	1
"EPlSTUG00000001484"	0.974937296726652	-0.8740702394259	0.0651533862143234	0.334316938672901
"EPlSTUG00000001489"	0.277273086643196	-1.69641183877321	0.712830086971686	0.94711110738133
