"logFC"	"logCPM"	"PValue"	"FDR"
"EPlSTUG00000002249"	0.220587706098984	-1.87045408836176	0.802737356370135	0.980452418835341
"EPlSTUG00000002250"	0.235345157464875	0.232630259759222	0.4781941912363	0.881285718980927
"EPlSTUG00000002261"	-0.348545568446533	-2.02626385939319	0.658241981796185	0.941035536013608
"EPlSTUG00000002274"	0.608951847832637	-1.35081858100466	0.182482813202089	0.68058505749374
"EPlSTUG00000002275"	-0.276503714108191	-1.96312466125802	0.685626126993646	0.949467453606496
"EPlSTUG00000002287"	-0.0477134434453999	-1.33070341423957	0.938119455317487	1
"EPlSTUG00000002322"	-0.539402410796281	2.71049485194523	0.0211439988929313	0.287511118083955
"EPlSTUG00000002335"	1.15630502110687	-2.04631761365158	0.0948115868430634	0.536801812386816
"EPlSTUG00000002374"	0.215293898181615	-1.65082305383472	0.813217874932928	0.982113734925415
"EPlSTUG00000002380"	0.4587872153735	-1.68048401912911	0.435529828785457	0.861552135428019
"EPlSTUG00000002438"	0.74660950993562	-0.237199285909261	0.035852380380794	0.364962829193384
"EPlSTUG00000002532"	1.53710703877491	-2.08625603033966	0.1949449131995	0.693077277155906
"EPlSTUG00000002534"	-0.205328800943308	-1.20841541493385	0.754815904009754	0.970788806480697
"EPlSTUG00000002556"	0.542735780674641	-1.60581172577714	0.302203017898796	0.786715211914135
"EPlSTUG00000002603"	-0.24045653717952	-1.18144150506731	0.739781860213874	0.966203162611418
"EPlSTUG00000002605"	-0.108531465918453	-1.27154989817016	0.8823619552259	0.995962024199378
"EPlSTUG00000002698"	-0.424018952647223	-0.854132202032715	0.357841702933642	0.823175301079472
"EPlSTUG00000002701"	0.203309949122867	-1.25212824358069	0.680504866505809	0.947431755872576
"EPlSTUG00000002704"	-0.00558682531848347	-0.58432107861436	1	1
"EPlSTUG00000002745"	0.594372675217163	-0.230442891200468	0.485772827840605	0.884797592068643
"EPlSTUG00000002756"	-0.268564790551265	-1.87381315055944	0.634596036912505	0.934854337469045
"EPlSTUG00000002799"	0.0380952848197137	-1.94647229961193	1	1
"EPlSTUG00000002847"	0.320060550367336	-1.37125462025373	0.492343945853864	0.88710198753292
"EPlSTUG00000002856"	0.0380957590884914	-1.94647229961193	1	1
"EPlSTUG00000002880"	1.34457330969953	-1.67740453809002	0.0256564454736111	0.312114790265678
"EPlSTUG00000002902"	-0.0406164990929299	-1.48389262237642	1	1
"EPlSTUG00000002904"	1.07109208958128	-1.17257603418563	0.0296829075906355	0.332444705179481
"EPlSTUG00000002973"	-0.251341266359728	-0.89470967114498	0.687176323919676	0.94956572304884
"EPlSTUG00000002993"	0.0380956749536388	-1.94647229961193	1	1
"EPlSTUG00000003007"	0.166889290053792	-1.21684363531279	0.740547712743193	0.966228723957273
"EPlSTUG00000003019"	0.477359229786672	-1.61092989613631	0.338864433269899	0.809514177170646
"EPlSTUG00000003021"	0.0380956118924735	-1.94647229961193	1	1
"EPlSTUG00000003049"	0.157916111705168	-0.875095673565624	0.737227834557094	0.966198988943757
"EPlSTUG00000003060"	-0.0821677759057874	-1.82840258512545	0.938341596671882	1
