pgsc_dmp	logFC	dir
PGSC0003DMP400000207	0.604475155394634	0
PGSC0003DMP400000210	-0.164323339275564	0
PGSC0003DMP400000209	-0.164323339275564	0
PGSC0003DMP400000211	-0.164323339275564	0
PGSC0003DMP400000208	-0.164323339275564	0
PGSC0003DMP400000212	-0.0165703104030375	0
PGSC0003DMP400000222	0.231429416313339	0
PGSC0003DMP400000223	-0.272378682543514	0
PGSC0003DMP400000224	-0.272378682543514	0
PGSC0003DMP400000229	-1.10787305877383	0
PGSC0003DMP400000231	-1.10787305877383	0
PGSC0003DMP400000230	-1.10787305877383	0
PGSC0003DMP400000236	-0.183017423391337	0
PGSC0003DMP400000242	0.0274490468324882	0
PGSC0003DMP400000247	-0.537319521033717	0
PGSC0003DMP400000243	-0.537319521033717	0
PGSC0003DMP400000245	-0.537319521033717	0
PGSC0003DMP400000246	-0.537319521033717	0
PGSC0003DMP400000244	-0.537319521033717	0
PGSC0003DMP400000251	0.126946527145312	0
PGSC0003DMP400000250	0.126946527145312	0
PGSC0003DMP400000252	0.119614858860815	0
PGSC0003DMP400000253	0.119614858860815	0
PGSC0003DMP400000255	0.232129755129655	0
PGSC0003DMP400000254	0.232129755129655	0
PGSC0003DMP400000256	0.0443206014739866	0
PGSC0003DMP400000257	-0.624231297162135	0
PGSC0003DMP400000263	-0.240566837831087	0
PGSC0003DMP400000262	-0.240566837831087	0
PGSC0003DMP400000261	-0.240566837831087	0
PGSC0003DMP400000264	0.350938179602939	0
PGSC0003DMP400000265	0.350938179602939	0
PGSC0003DMP400000266	-0.207294366280857	0
PGSC0003DMP400000267	0.371256663066153	0
PGSC0003DMP400000268	-0.500952977041385	0
PGSC0003DMP400000269	0.627032336339795	0
PGSC0003DMP400000270	0.627032336339795	0
PGSC0003DMP400000271	-0.0159961360068967	0
PGSC0003DMP400000273	-0.206871048304125	0
PGSC0003DMP400000272	-0.206871048304125	0
PGSC0003DMP400000275	-0.493937038609862	0
PGSC0003DMP400000274	-0.493937038609862	0
PGSC0003DMP400000276	-0.0909953376474644	0
PGSC0003DMP400000277	-0.0909953376474644	0
PGSC0003DMP400000278	-0.0451554280832975	0
