"logFC"	"logCPM"	"PValue"	"FDR"
"PGSC0003DMG400002541"	0.586138602158106	5.28878632179597	7.16701641257392e-06	0.000717979481392967
"PGSC0003DMG400002552"	-1.45090039738497	5.50473975284645	0.000182690963950304	0.00781760042095955
"PGSC0003DMG400002566"	-1.89175220806752	2.40756989694142	0.00036685560238715	0.0126485860546608
"PGSC0003DMG400002585"	0.709579784152227	3.53664598472706	7.36354573705766e-06	0.000731993088923048
"PGSC0003DMG400002597"	0.588887689396614	6.751247380629	1.45526156372095e-06	0.000236328411599519
"PGSC0003DMG400002601"	-0.550459667249246	4.90885729417381	0.000140874638715788	0.00653688673653188
"PGSC0003DMG400002607"	-0.741360216649285	2.80957698715581	0.00161859035168522	0.0353926279438715
"PGSC0003DMG400002662"	-1.02689166713251	7.07497679384306	6.78607741586172e-08	2.41503260984965e-05
"PGSC0003DMG400002663"	1.25386197168905	-0.213716722970959	0.000651898028005379	0.0187418870209422
"PGSC0003DMG400002684"	0.739973305825855	6.07850564404985	1.94734019885111e-08	1.04856155790637e-05
"PGSC0003DMG400002729"	0.429356326965034	6.31741573425997	0.00089571337598648	0.023455529803188
"PGSC0003DMG400002732"	-4.36406684967763	0.0723036651590353	1.52603804526828e-07	4.07599000111502e-05
"PGSC0003DMG400002746"	0.406643912603204	4.21195761267807	0.00198484794260444	0.0411060736574956
"PGSC0003DMG400002765"	0.528264367064491	6.20043990022491	1.22821633057187e-05	0.001072448624323
"PGSC0003DMG400002773"	0.465205323304613	3.98192755688918	0.000604660690599358	0.0178122656207282
"PGSC0003DMG400002819"	0.448889486784101	5.42855650334777	0.000744381672445576	0.0205547956260987
"PGSC0003DMG400002859"	-1.92745161978655	0.532638838556384	7.51038855126037e-05	0.00410539854989168
"PGSC0003DMG400002860"	0.628107477128816	6.43812011770462	1.06502220298924e-05	0.000955783467307635
"PGSC0003DMG400002861"	-2.43844901882915	3.22660881784893	1.30868947858351e-09	1.47062557667259e-06
"PGSC0003DMG400002867"	-0.472727586391584	4.30042705852651	0.00120680751592536	0.0286831216418239
"PGSC0003DMG400002891"	-0.418395134031808	6.97845309818345	0.00156778048652904	0.0346628352907011
"PGSC0003DMG400002898"	-0.953468098344315	2.04275644660861	0.00139932951478166	0.0320062572026962
"PGSC0003DMG400002914"	-0.548563556639882	6.64378110278412	0.00106872396370564	0.0263570988224581
"PGSC0003DMG400002928"	2.81596271662687	4.52051790331418	3.02222879210655e-08	1.34676767863424e-05
"PGSC0003DMG400002929"	0.531926290151991	8.38895959924286	6.74579154585784e-05	0.00382515116738677
"PGSC0003DMG400002987"	1.17956778643988	5.37135080771228	0.0004366311765762	0.0143212809515082
